SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2002-12-31,2003-01-07,4.689,1.946,1.31,1.034,2.322,0.779,0.029,0.053,0.024,0.232,7,True,7.0,True,False
ABT147,2003-01-07,2003-01-14,8.419,1.77,1.615,1.202,2.791,0.726,0.114,0.039,0.021,0.295,7,True,7.0,True,False
ABT147,2003-01-14,2003-01-21,12.053,2.055,1.785,2.502,4.258,1.03,0.115,0.051,0.029,0.522,7,True,7.0,True,False
ABT147,2003-01-21,2003-01-28,12.23,1.711,1.017,1.739,2.74,0.754,0.101,0.043,0.037,0.504,7,True,7.0,True,False
ABT147,2003-01-28,2003-02-04,14.613,4.669,2.287,2.078,4.329,1.532,0.085,0.074,0.038,0.762,7,True,7.0,True,False
ABT147,2003-02-04,2003-02-11,13.227,2.882,2.088,2.461,4.515,1.421,0.095,0.042,0.028,0.306,7,True,7.0,True,False
ABT147,2003-02-11,2003-02-18,7.085,1.554,1.254,1.271,2.505,0.596,0.072,0.052,0.037,0.47,7,True,7.0,True,False
ABT147,2003-02-18,2003-02-25,10.516,3.824,3.378,0.73,4.055,1.347,0.068,0.04,0.021,0.254,7,True,7.0,True,False
ABT147,2003-02-25,2003-03-04,6.552,2.878,2.639,0.604,3.201,0.904,0.083,0.06,0.032,0.33,7,True,7.0,True,False
ABT147,2003-03-04,2003-03-11,7.183,3.153,2.388,1.406,3.756,1.085,0.089,0.049,0.058,0.479,7,True,7.0,True,False
ABT147,2003-03-11,2003-03-18,12.07,3.533,2.761,3.488,6.205,1.678,0.161,0.06,0.078,0.639,7,True,7.0,True,False
ABT147,2003-03-18,2003-03-25,3.478,3.481,1.785,1.003,2.76,0.964,0.087,0.045,0.064,0.5,7,True,7.0,True,False
ABT147,2003-03-25,2003-04-01,1.997,2.777,1.934,0.615,2.519,0.791,0.111,0.039,0.051,0.342,7,True,7.0,True,False
ABT147,2003-04-01,2003-04-08,3.137,3.151,2.635,0.446,3.04,0.967,0.066,0.038,0.035,0.248,7,True,7.0,True,False
ABT147,2003-04-08,2003-04-15,3.269,2.141,1.536,0.723,2.234,0.646,0.09,0.045,0.044,0.319,7,True,7.0,True,False
ABT147,2003-04-15,2003-04-22,5.753,2.795,2.183,1.216,3.364,0.634,0.213,0.077,0.138,0.893,7,True,7.0,True,False
ABT147,2003-04-22,2003-04-29,2.374,1.672,1.972,0.476,2.417,0.62,0.113,0.035,0.028,0.103,7,True,7.0,True,False
ABT147,2003-04-29,2003-05-06,1.932,2.49,1.467,0.696,2.139,0.714,0.182,0.05,0.061,0.264,7,True,7.0,True,False
ABT147,2003-05-06,2003-05-13,1.651,2.336,2.7,0.226,2.883,0.795,0.056,0.044,0.018,0.056,7,True,7.0,True,False
ABT147,2003-05-13,2003-05-20,2.082,1.59,1.245,0.494,1.72,0.569,0.052,0.041,0.033,0.211,7,True,7.0,True,False
ABT147,2003-05-20,2003-05-27,1.502,1.692,1.18,0.324,1.486,0.578,0.042,0.041,0.018,0.069,7,True,7.0,True,False
ABT147,2003-05-27,2003-06-03,1.351,3.412,2.084,0.066,2.117,1.219,0.069,0.066,0.02,0.042,7,True,7.0,True,False
ABT147,2003-06-03,2003-06-10,1.472,4.149,2.264,0.322,2.55,1.504,0.051,0.051,0.016,0.032,7,True,7.0,True,False
ABT147,2003-06-10,2003-06-17,1.351,3.721,1.878,0.139,1.987,1.227,0.042,0.073,0.021,0.094,7,True,7.0,True,False
ABT147,2003-06-17,2003-06-24,0.689,2.034,1.47,0.118,1.565,0.68,0.034,0.051,0.014,0.068,7,True,7.0,True,False
ABT147,2003-06-24,2003-07-01,3.446,8.9,3.63,0.107,3.68,3.089,0.226,0.099,0.047,0.057,7,True,7.0,True,False
ABT147,2003-07-01,2003-07-08,2.52,5.997,2.474,0.39,2.825,2.006,0.114,0.332,0.057,0.065,7,True,7.0,True,False
ABT147,2003-07-08,2003-07-15,1.72,3.758,1.884,0.254,2.108,1.246,0.082,0.067,0.027,0.087,7,True,7.0,True,False
ABT147,2003-07-15,2003-07-22,1.347,3.916,1.736,0.29,1.998,1.222,0.071,0.065,0.038,0.22,7,True,7.0,True,False
ABT147,2003-07-22,2003-07-29,3.864,6.972,2.451,0.224,2.636,2.409,0.098,0.088,0.046,0.251,7,True,7.0,True,False
