SITE_ID,LATITUDE,LONGITUDE
DE99,38.4994,-75.4482
PA47,39.9909,-76.3856
VA08,38.4222,-78.1044
GA33,31.3961,-81.2811
ID02,48.3518,-116.8397
OR01,45.4704,-122.8151
OK99,35.7508,-94.67
NV02,41.5033,-117.4989
IN26,39.8583,-86.0208
ND01,48.6419,-102.4021
NY29,43.7868,-74.8429
NV99,41.5713,-115.2117
WI97,45.9944,-91.3711
SC11,33.3497,-79.1888
WI32,44.9308,-88.755
KY19,38.2288,-85.6545
WI22,43.0752,-87.8843
MD07,39.647,-77.4848
AK99,67.0931,-157.8689
VA10,38.6294,-77.2047
FL32,28.5926,-81.1904
NY96,41.0347,-72.3891
MD99,39.028,-76.8171
MD08,39.7053,-79.0122
NJ30,40.4728,-74.4226
HD01,21.1583,-98.3706
OK15,36.9564,-97.0335
OH02,39.3078,-82.1182
AB08,51.6667,-110.2
ON10,45.8083,-82.95
CAN5,45.041,-72.8581
NF09,49.3214,-57.3931
ON07,44.2339,-79.7917
CO18,40.0851,-107.3118
AK02,58.5139,-134.7843
VA98,37.5312,-76.4928
AB13,51.4242,-110.8325
OA02,15.65,-96.4833
WI10,45.5648,-88.8083
NC26,35.2632,-79.8365
MI31,42.597,-83.0076
SC09,33.2307,-80.3602
CO90,40.0367,-105.544
AZ02,35.1406,-111.9692
WA03,48.2892,-124.6519
CA94,34.1938,-116.9131
CA20,41.5588,-124.0916
OK01,34.3154,-95.8893
OK31,36.9081,-95.8823
AB14,53.3016,-114.2016
PA19,40.7987,-76.3381
NV98,39.5111,-119.7186
SD18,44.9931,-101.2403
MD00,38.889,-76.5558
FL97,26.1714,-80.8222
CA28,37.0592,-119.1822
UT97,40.7118,-111.9609
TX43,34.88,-101.665
CA69,37.0592,-119.1822
OK04,34.1033,-97.0708
PA52,41.3639,-77.3561
AK98,57.7189,-152.5617
KS03,39.9792,-95.5681
KS24,39.5136,-98.3403
KS99,37.1336,-101.8248
ID99,44.8913,-116.1047
AK05,58.4566,-135.8674
NY01,42.2323,-77.8187
OK06,34.7342,-98.7094
AK97,58.6794,-156.6664
ID98,43.5528,-116.6436
KS04,37.2731,-94.94
AK00,53.8454,-166.5048
NY43,43.1463,-77.5482
NY06,40.868,-73.8782
MN98,45.1407,-93.222
AK06,66.906,-151.683
KS05,38.1992,-95.6646
CO13,40.5923,-105.1414
IN99,39.8108,-86.1144
OK19,36.2283,-95.25
NM97,35.8584,-106.5214
NC30,35.9709,-79.0933
IL95,NULL,NULL
ILXX,NULL,NULL
ON99,44.2341,-79.7917
NY16,41.7858,-73.7414
MA99,42.3063,-72.5354
CO89,40.2878,-105.6628
BC16,48.7753,-123.1281
MBFF,NULL,NULL
MS12,30.4294,-88.4277
MD98,39.028,-76.8171
ON18,49.6642,-93.7328
PQ17,49.8225,-74.9753
NF19,48.5614,-58.5656
PA21,41.4271,-80.1451
AG01,-30.9501,-62.8244
CA48,36.81,-121.78
MT95,45.6335,-106.5501
KS98,37.0469,-95.6133
WY94,43.6709,-110.5995
FL19,27.8492,-80.4554
KY98,36.7841,-87.8499
CA83,36.4894,-118.8228
CA44,37.7133,-119.7061
TN01,35.6331,-83.9422
MI96,42.25,-83.2
MN29,43.6666,-96.2333
MN42,44.05,-91.6333
NC99,35.8924,-78.8773
NM98,36.8097,-107.6515
NM99,36.7358,-108.2383
OH27,39.15,-84.5166
WI07,43.466,-88.621
CO88,40.2778,-105.5453
